Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C2, C5, C6, C7, C8, C9",0402,9,0.1uf,
"C10, C12, C26",0402,3,1uf,
"C13, C14",0603,2,10uf,
"C15, C16",0402,2,15pf,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J4,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2",0402,2,5.1k,
"R18, R5",0402,2,1k,
"R3, R4",0402,2,27om,
R6,0402,1,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,APS1604M-3SQRx-ZR,
U5,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
